Bowler_Name,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,wides,no_balls,Bowling_Team,opponent,innings,Match_Between,match_id
Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Kasun Rajitha,9.0,0,65,0,7.22,25,7,2,1,0,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Maheesh Theekshana,10.0,0,67,0,6.7,18,5,1,1,0,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1,Sri Lanka,India,1,India vs Sri Lanka,23038.0
Aryan Dutt,10.0,0,48,1,4.8,37,7,0,2,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Logan van Beek,6.0,0,30,1,5.0,20,4,0,1,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Colin Ackermann,8.0,1,39,2,4.87,26,1,2,0,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Paul van Meekeren,6.0,0,40,1,6.66,16,5,0,2,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Bas de Leede,9.0,0,62,4,6.88,22,9,0,3,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Roelof van der Merwe,6.0,0,36,0,6.0,14,2,1,0,1,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Vikramjit Singh,2.0,0,16,0,8.0,5,3,0,0,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Saqib Zulfiqar,2.0,0,15,0,7.5,3,2,0,0,0,Netherlands,Pakistan,1,Pakistan vs Netherlands,18021.0
Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,Australia,India,1,India vs Australia,23053.0
Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,Australia,India,1,India vs Australia,23053.0
Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,Australia,India,1,India vs Australia,23053.0
Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,Australia,India,1,India vs Australia,23053.0
Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,Australia,India,1,India vs Australia,23053.0
Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,Australia,India,1,India vs Australia,23053.0
Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,Australia,India,1,India vs Australia,23053.0
David Willey,10.0,2,45,3,4.5,39,4,2,0,0,England,India,1,India vs England,23034.0
Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0,England,India,1,India vs England,23034.0
Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0,England,India,1,India vs England,23034.0
Mark Wood,9.0,1,46,1,5.11,32,3,2,2,0,England,India,1,India vs England,23034.0
Liam Livingstone,4.0,1,29,0,7.25,13,5,0,0,0,England,India,1,India vs England,23034.0
Moeen Ali,8.0,0,37,0,4.62,19,2,0,0,0,England,India,1,India vs England,23034.0
Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Kasun Rajitha,9.0,0,50,4,5.55,32,5,0,6,0,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Chamika Karunaratne,9.0,1,58,0,6.44,25,1,2,6,0,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Maheesh Theekshana,10.0,0,44,1,4.4,28,0,0,2,0,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Dushan Hemantha,8.0,0,42,0,5.25,23,3,1,0,0,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Dhananjaya de Silva,4.0,0,13,0,3.25,16,0,0,3,0,Sri Lanka,Netherlands,1,Netherlands vs Sri Lanka,23024.0
Mustafizur Rahman,9.0,0,76,0,8.44,15,7,2,2,0,Bangladesh,South Africa,1,South Africa vs Bangladesh,23028.0
